period,series_reference,region_name,filled jobs,filled jobs revised,filled jobs diff,filled jobs % diff,total_earnings,total earnings revised,earnings diff,earnings % diff
2020.12,BDCQ.SED1RH,Manawatu-Whanganui,104474,105209,735,0.7,1484,1493,9,0.6
2020.12,BDCQ.SED1RI,Wellington,241506,243161,1655,0.7,4356,4381,25,0.6
2020.12,BDCQ.SED1RJ,Tasman,22794,22987,193,0.8,309,312,3,1
2020.12,BDCQ.SED1RK,Nelson,19480,19605,125,0.6,273,276,3,1.1
2020.12,BDCQ.SED1RL,Marlborough,25074,25179,105,0.4,352,352,0,0
2020.12,BDCQ.SED1RM,West Coast,13974,13970,-4,0,196,196,0,0
2020.12,BDCQ.SED1RN,Canterbury,278420,282281,3861,1.4,4266,4325,59,1.4
2020.12,BDCQ.SED1RO,Otago,104841,105684,843,0.8,1503,1514,11,0.7
2020.12,BDCQ.SED1RP,Southland,45280,45689,409,0.9,643,648,5,0.8
2021.03,BDCQ.SED1RA,Northland,67128,67640,512,0.8,950,958,8,0.8
2021.03,BDCQ.SED1RB,Auckland,708896,715771,6875,1,12466,12586,120,1
2021.03,BDCQ.SED1RC,Waikato,202584,203703,1119,0.6,3039,3055,16,0.5
2021.03,BDCQ.SED1RD,Bay of Plenty,130306,131440,1134,0.9,1896,1915,19,1
2021.03,BDCQ.SED1RE,Gisborne,21616,21790,174,0.8,285,288,3,1.1
2021.03,BDCQ.SED1RF,Hawke's Bay,75658,76359,701,0.9,1073,1084,11,1
2021.03,BDCQ.SED1RG,Taranaki,50405,50758,353,0.7,754,760,6,0.8
2021.03,BDCQ.SED1RH,Manawatu-Whanganui,104144,104706,562,0.5,1461,1467,6,0.4
2021.03,BDCQ.SED1RI,Wellington,239815,241057,1242,0.5,4452,4475,23,0.5
2021.03,BDCQ.SED1RJ,Tasman,22914,23104,190,0.8,311,314,3,1
2021.03,BDCQ.SED1RK,Nelson,19382,19525,143,0.7,271,274,3,1.1
2021.03,BDCQ.SED1RL,Marlborough,25005,25099,94,0.4,351,351,0,0
2021.03,BDCQ.SED1RM,West Coast,13900,13910,10,0.1,194,193,-1,-0.5
2021.03,BDCQ.SED1RN,Canterbury,277381,280156,2775,1,4196,4239,43,1
2021.03,BDCQ.SED1RO,Otago,104361,105359,998,1,1486,1500,14,0.9
2021.03,BDCQ.SED1RP,Southland,45855,46351,496,1.1,645,653,8,1.2
2021.06,BDCQ.SED1RA,Northland,68288,69064,776,1.1,1001,1015,14,1.4
2021.06,BDCQ.SED1RB,Auckland,720874,729746,8872,1.2,12972,13136,164,1.3
2021.06,BDCQ.SED1RC,Waikato,204615,206487,1872,0.9,3170,3197,27,0.9
2021.06,BDCQ.SED1RD,Bay of Plenty,134675,136353,1678,1.2,2046,2076,30,1.5
2021.06,BDCQ.SED1RE,Gisborne,21455,21893,438,2,291,297,6,2.1
2021.06,BDCQ.SED1RF,Hawke's Bay,76083,76894,811,1.1,1128,1141,13,1.2
2021.06,BDCQ.SED1RG,Taranaki,50626,51256,630,1.2,789,801,12,1.5
2021.06,BDCQ.SED1RH,Manawatu-Whanganui,104227,105614,1387,1.3,1500,1520,20,1.3
2021.06,BDCQ.SED1RI,Wellington,239064,243770,4706,2,4360,4478,118,2.7
2021.06,BDCQ.SED1RJ,Tasman,22883,23119,236,1,320,324,4,1.3
2021.06,BDCQ.SED1RK,Nelson,19398,19543,145,0.7,278,282,4,1.4
2021.06,BDCQ.SED1RL,Marlborough,24942,25091,149,0.6,361,362,1,0.3
2021.06,BDCQ.SED1RM,West Coast,13745,13920,175,1.3,195,198,3,1.5
2021.06,BDCQ.SED1RN,Canterbury,279418,283782,4364,1.6,4341,4409,68,1.6
2021.06,BDCQ.SED1RO,Otago,104201,105559,1358,1.3,1531,1550,19,1.2
2021.06,BDCQ.SED1RP,Southland,45261,45736,475,1,657,665,8,1.2
2021.09,BDCQ.SED1RA,Northland,68905,69401,496,0.7,1012,1020,8,0.8
2021.09,BDCQ.SED1RB,Auckland,725395,734238,8843,1.2,13299,13457,158,1.2
2021.09,BDCQ.SED1RC,Waikato,206530,208279,1749,0.8,3238,3264,26,0.8
2021.09,BDCQ.SED1RD,Bay of Plenty,132652,134022,1370,1,2030,2053,23,1.1
2021.09,BDCQ.SED1RE,Gisborne,21102,21501,399,1.9,295,300,5,1.7
2021.09,BDCQ.SED1RF,Hawke's Bay,74836,75505,669,0.9,1103,1114,11,1
2021.09,BDCQ.SED1RG,Taranaki,51002,51448,446,0.9,781,789,8,1
2021.09,BDCQ.SED1RH,Manawatu-Whanganui,105139,106029,890,0.8,1525,1540,15,1
2021.09,BDCQ.SED1RI,Wellington,242981,244981,2000,0.8,4624,4656,32,0.7
2021.09,BDCQ.SED1RJ,Tasman,22778,23065,287,1.3,322,326,4,1.2
2021.09,BDCQ.SED1RK,Nelson,19423,19647,224,1.2,282,287,5,1.8
2021.09,BDCQ.SED1RL,Marlborough,24881,25166,285,1.1,359,363,4,1.1
2021.09,BDCQ.SED1RM,West Coast,13685,13771,86,0.6,196,197,1,0.5
2021.09,BDCQ.SED1RN,Canterbury,282838,285722,2884,1,4450,4494,44,1
2021.09,BDCQ.SED1RO,Otago,104818,105885,1067,1,1549,1564,15,1
2021.09,BDCQ.SED1RP,Southland,44758,45207,449,1,641,650,9,1.4
2021.12,BDCQ.SED1RA,Northland,71012,71494,482,0.7,1093,1102,9,0.8
2021.12,BDCQ.SED1RB,Auckland,741145,748627,7482,1,13977,14131,154,1.1
2021.12,BDCQ.SED1RC,Waikato,212340,213543,1203,0.6,3475,3495,20,0.6
2021.12,BDCQ.SED1RD,Bay of Plenty,137090,137993,903,0.7,2174,2191,17,0.8
2021.12,BDCQ.SED1RE,Gisborne,22116,22336,220,1,319,322,3,0.9
2021.12,BDCQ.SED1RF,Hawke's Bay,77231,78013,782,1,1189,1201,12,1
2021.12,BDCQ.SED1RG,Taranaki,52263,52718,455,0.9,842,849,7,0.8
2021.12,BDCQ.SED1RH,Manawatu-Whanganui,108016,108719,703,0.7,1639,1646,7,0.4
2021.12,BDCQ.SED1RI,Wellington,248776,250317,1541,0.6,4823,4849,26,0.5
2021.12,BDCQ.SED1RJ,Tasman,23415,23741,326,1.4,341,345,4,1.2
2021.12,BDCQ.SED1RK,Nelson,19947,20108,161,0.8,300,304,4,1.3
2021.12,BDCQ.SED1RL,Marlborough,25563,25793,230,0.9,384,386,2,0.5
2021.12,BDCQ.SED1RM,West Coast,14215,14251,36,0.3,212,214,2,0.9
2021.12,BDCQ.SED1RN,Canterbury,289799,292743,2944,1,4734,4782,48,1
2021.12,BDCQ.SED1RO,Otago,107466,108500,1034,1,1655,1669,14,0.8
2021.12,BDCQ.SED1RP,Southland,46478,46808,330,0.7,700,706,6,0.9
2022.03,BDCQ.SED1RA,Northland,69868,70477,609,0.9,1056,1070,14,1.3
2022.03,BDCQ.SED1RB,Auckland,735186,741891,6705,0.9,13788,14022,234,1.7
2022.03,BDCQ.SED1RC,Waikato,210543,211775,1232,0.6,3391,3410,19,0.6
2022.03,BDCQ.SED1RD,Bay of Plenty,134796,135832,1036,0.8,2113,2130,17,0.8
2022.03,BDCQ.SED1RE,Gisborne,21580,22122,542,2.5,304,311,7,2.3
2022.03,BDCQ.SED1RF,Hawke's Bay,78010,78447,437,0.6,1189,1198,9,0.8
2022.03,BDCQ.SED1RG,Taranaki,51791,52263,472,0.9,823,829,6,0.7
2022.03,BDCQ.SED1RH,Manawatu-Whanganui,107205,107814,609,0.6,1596,1602,6,0.4
2022.03,BDCQ.SED1RI,Wellington,246085,247613,1528,0.6,4712,4741,29,0.6
2022.03,BDCQ.SED1RJ,Tasman,23527,23750,223,0.9,344,347,3,0.9
2022.03,BDCQ.SED1RK,Nelson,19747,19823,76,0.4,296,299,3,1
2022.03,BDCQ.SED1RL,Marlborough,25368,25592,224,0.9,380,382,2,0.5
2022.03,BDCQ.SED1RM,West Coast,14056,14118,62,0.4,207,209,2,1
2022.03,BDCQ.SED1RN,Canterbury,286920,289628,2708,0.9,4607,4650,43,0.9
2022.03,BDCQ.SED1RO,Otago,106680,107815,1135,1.1,1625,1640,15,0.9
2022.03,BDCQ.SED1RP,Southland,46787,47114,327,0.7,697,703,6,0.9
2022.06,BDCQ.SED1RA,Northland,70390,71012,622,0.9,1108,1119,11,1
2022.06,BDCQ.SED1RB,Auckland,738297,747141,8844,1.2,14234,14423,189,1.3
2022.06,BDCQ.SED1RC,Waikato,211521,213038,1517,0.7,3502,3531,29,0.8
2022.06,BDCQ.SED1RD,Bay of Plenty,138518,140067,1549,1.1,2236,2265,29,1.3
2022.06,BDCQ.SED1RE,Gisborne,21828,22211,383,1.8,316,322,6,1.9
2022.06,BDCQ.SED1RF,Hawke's Bay,78682,79212,530,0.7,1244,1252,8,0.6
2022.06,BDCQ.SED1RG,Taranaki,51872,52310,438,0.8,865,872,7,0.8
2022.06,BDCQ.SED1RH,Manawatu-Whanganui,106806,107554,748,0.7,1645,1655,10,0.6
2022.06,BDCQ.SED1RI,Wellington,246674,248666,1992,0.8,4820,4870,50,1
2022.06,BDCQ.SED1RJ,Tasman,23906,24165,259,1.1,358,362,4,1.1
2022.06,BDCQ.SED1RK,Nelson,19803,19868,65,0.3,302,304,2,0.7
2022.06,BDCQ.SED1RL,Marlborough,25264,25440,176,0.7,390,391,1,0.3
2022.06,BDCQ.SED1RM,West Coast,14045,14059,14,0.1,213,213,0,0
2022.06,BDCQ.SED1RN,Canterbury,288387,291078,2691,0.9,4762,4809,47,1
2022.06,BDCQ.SED1RO,Otago,106111,107108,997,0.9,1660,1676,16,1
2022.06,BDCQ.SED1RP,Southland,45514,45919,405,0.9,699,707,8,1.1
2022.09,BDCQ.SED1RA,Northland,70417,71031,614,0.9,1114,1124,10,0.9
2022.09,BDCQ.SED1RB,Auckland,741564,749147,7583,1,14631,14783,152,1
2022.09,BDCQ.SED1RC,Waikato,212557,213928,1371,0.6,3588,3614,26,0.7
2022.09,BDCQ.SED1RD,Bay of Plenty,136246,137396,1150,0.8,2239,2258,19,0.8
2022.09,BDCQ.SED1RE,Gisborne,21695,21962,267,1.2,321,325,4,1.2
2022.09,BDCQ.SED1RF,Hawke's Bay,76353,76934,581,0.8,1213,1224,11,0.9
2022.09,BDCQ.SED1RG,Taranaki,52067,52511,444,0.9,852,860,8,0.9
2022.09,BDCQ.SED1RH,Manawatu-Whanganui,107216,108118,902,0.8,1651,1664,13,0.8
2022.09,BDCQ.SED1RI,Wellington,246959,249410,2451,1,4975,5032,57,1.1
2022.09,BDCQ.SED1RJ,Tasman,23446,23589,143,0.6,357,359,2,0.6
2022.09,BDCQ.SED1RK,Nelson,19682,19884,202,1,310,314,4,1.3
2022.09,BDCQ.SED1RL,Marlborough,25156,25342,186,0.7,394,396,2,0.5
2022.09,BDCQ.SED1RM,West Coast,13933,13949,16,0.1,212,212,0,0
2022.09,BDCQ.SED1RN,Canterbury,290386,292661,2275,0.8,4900,4942,42,0.9
2022.09,BDCQ.SED1RO,Otago,106694,107716,1022,1,1704,1719,15,0.9
2022.09,BDCQ.SED1RP,Southland,45131,45665,534,1.2,697,706,9,1.3
2022.12,BDCQ.SED1RA,Northland,72276,72801,525,0.7,1171,1181,10,0.9
2022.12,BDCQ.SED1RB,Auckland,756716,765991,9275,1.2,15076,15258,182,1.2
2022.12,BDCQ.SED1RC,Waikato,217715,219366,1651,0.8,3754,3783,29,0.8
2022.12,BDCQ.SED1RD,Bay of Plenty,138254,139879,1625,1.2,2307,2340,33,1.4
2022.12,BDCQ.SED1RE,Gisborne,21829,22440,611,2.8,326,338,12,3.7
2022.12,BDCQ.SED1RF,Hawke's Bay,77356,78100,744,1,1259,1272,13,1
2022.12,BDCQ.SED1RG,Taranaki,52895,53326,431,0.8,898,906,8,0.9
2022.12,BDCQ.SED1RH,Manawatu-Whanganui,108850,109736,886,0.8,1737,1750,13,0.7
2022.12,BDCQ.SED1RI,Wellington,250305,252045,1740,0.7,5139,5177,38,0.7
2022.12,BDCQ.SED1RJ,Tasman,24126,24228,102,0.4,371,372,1,0.3
2022.12,BDCQ.SED1RK,Nelson,20192,20324,132,0.7,322,325,3,0.9
2022.12,BDCQ.SED1RL,Marlborough,25707,25909,202,0.8,409,413,4,1
2022.12,BDCQ.SED1RM,West Coast,14315,14347,32,0.2,226,227,1,0.4
2022.12,BDCQ.SED1RN,Canterbury,296998,299921,2923,1,5113,5161,48,0.9
2022.12,BDCQ.SED1RO,Otago,109243,110509,1266,1.2,1784,1803,19,1.1
2022.12,BDCQ.SED1RP,Southland,46964,47437,473,1,752,760,8,1.1
