description,industry,level,size,line_code,value
Type of outstanding debt: loans with terms of one year or less,Accommodation & food services,1,total,D0202,1065
Type of outstanding debt: loans with terms of one year or less,"Transport, postal, & warehousing",1,total,D0202,336
Type of outstanding debt: loans with terms of one year or less,Information media & telecommunications,1,total,D0202,57
Type of outstanding debt: loans with terms of one year or less,Publishing,2,total,D0202,9
Type of outstanding debt: loans with terms of one year or less,Motion picture,2,total,D0202,24
Type of outstanding debt: loans with terms of one year or less,Telecommunications,2,total,D0202,21
Type of outstanding debt: loans with terms of one year or less,Financial & insurance services,1,total,D0202,126
Type of outstanding debt: loans with terms of one year or less,Finance,2,total,D0202,72
Type of outstanding debt: loans with terms of one year or less,Insurance,2,total,D0202,3
Type of outstanding debt: loans with terms of one year or less,Auxiliary,2,total,D0202,54
Type of outstanding debt: loans with terms of one year or less,"Rental, hiring, & real estate services",1,total,D0202,147
Type of outstanding debt: loans with terms of one year or less,"Professional, scientific, & technical services",1,total,D0202,750
Type of outstanding debt: loans with terms of one year or less,Computer systems design,2,total,D0202,66
Type of outstanding debt: loans with terms of one year or less,Other professional scientific,2,total,D0202,684
Type of outstanding debt: loans with terms of one year or less,Administrative & support services,1,total,D0202,246
Type of outstanding debt: loans with terms of one year or less,Education & training,1,total,D0202,138
Type of outstanding debt: loans with terms of one year or less,Health care & social assistance,1,total,D0202,456
Type of outstanding debt: loans with terms of one year or less,Arts & recreation services,1,total,D0202,87
Type of outstanding debt: loans with terms of one year or less,Other services,1,total,D0202,375
Type of outstanding debt: loans with terms of one year or less,total,0,total,D0202,9402
Type of outstanding debt: loans with terms of more than one year,total,0,6–19 employees,D0203,15117
Type of outstanding debt: loans with terms of more than one year,total,0,20–49 employees,D0203,4038
Type of outstanding debt: loans with terms of more than one year,total,0,50–99 employees,D0203,1071
Type of outstanding debt: loans with terms of more than one year,total,0,100+ employees,D0203,795
Type of outstanding debt: loans with terms of more than one year,"Agriculture, forestry, & fishing",1,total,D0203,1860
Type of outstanding debt: loans with terms of more than one year,Agriculture,2,total,D0203,1200
Type of outstanding debt: loans with terms of more than one year,Commercial fishing,2,total,D0203,24
Type of outstanding debt: loans with terms of more than one year,Forestry & logging,2,total,D0203,195
Type of outstanding debt: loans with terms of more than one year,"Agriculture, forestry, & fishing support services",2,total,D0203,444
Type of outstanding debt: loans with terms of more than one year,Mining,1,total,D0203,51
Type of outstanding debt: loans with terms of more than one year,Manufacturing,1,total,D0203,2694
Type of outstanding debt: loans with terms of more than one year,"Food, beverage, & tobacco",2,total,D0203,603
Type of outstanding debt: loans with terms of more than one year,"Textile, clothing, footwear, & leather",2,total,D0203,129
Type of outstanding debt: loans with terms of more than one year,Wood & paper product,2,total,D0203,261
Type of outstanding debt: loans with terms of more than one year,"Printing, publishing, & recorded media",2,total,D0203,105
Type of outstanding debt: loans with terms of more than one year,"Petroleum, coal, chemical, & associated product",2,total,D0203,222
Type of outstanding debt: loans with terms of more than one year,Non-metallic mineral product,2,total,D0203,90
Type of outstanding debt: loans with terms of more than one year,Metal product,2,total,D0203,450
Type of outstanding debt: loans with terms of more than one year,Transport and industrial machinery & equipment,2,total,D0203,543
Type of outstanding debt: loans with terms of more than one year,Other machinery & equipment,2,total,D0203,93
Type of outstanding debt: loans with terms of more than one year,Other manufacturing,2,total,D0203,198
Type of outstanding debt: loans with terms of more than one year,"Electricity, gas, water, & waste services",1,total,D0203,129
Type of outstanding debt: loans with terms of more than one year,Construction,1,total,D0203,3318
Type of outstanding debt: loans with terms of more than one year,Wholesale trade,1,total,D0203,1209
Type of outstanding debt: loans with terms of more than one year,Machinery & equipment wholesaling,2,total,D0203,264
Type of outstanding debt: loans with terms of more than one year,Other wholesale trade,2,total,D0203,945
Type of outstanding debt: loans with terms of more than one year,Retail trade,1,total,D0203,2100
Type of outstanding debt: loans with terms of more than one year,Accommodation & food services,1,total,D0203,3384
Type of outstanding debt: loans with terms of more than one year,"Transport, postal, & warehousing",1,total,D0203,951
Type of outstanding debt: loans with terms of more than one year,Information media & telecommunications,1,total,D0203,144
Type of outstanding debt: loans with terms of more than one year,Publishing,2,total,D0203,60
Type of outstanding debt: loans with terms of more than one year,Motion picture,2,total,D0203,39
Type of outstanding debt: loans with terms of more than one year,Telecommunications,2,total,D0203,42
Type of outstanding debt: loans with terms of more than one year,Financial & insurance services,1,total,D0203,225
Type of outstanding debt: loans with terms of more than one year,Finance,2,total,D0203,105
Type of outstanding debt: loans with terms of more than one year,Insurance,2,total,D0203,3
Type of outstanding debt: loans with terms of more than one year,Auxiliary,2,total,D0203,120
Type of outstanding debt: loans with terms of more than one year,"Rental, hiring, & real estate services",1,total,D0203,411
Type of outstanding debt: loans with terms of more than one year,"Professional, scientific, & technical services",1,total,D0203,1698
Type of outstanding debt: loans with terms of more than one year,Computer systems design,2,total,D0203,234
Type of outstanding debt: loans with terms of more than one year,Other professional scientific,2,total,D0203,1467
Type of outstanding debt: loans with terms of more than one year,Administrative & support services,1,total,D0203,609
Type of outstanding debt: loans with terms of more than one year,Education & training,1,total,D0203,372
Type of outstanding debt: loans with terms of more than one year,Health care & social assistance,1,total,D0203,969
Type of outstanding debt: loans with terms of more than one year,Arts & recreation services,1,total,D0203,207
Type of outstanding debt: loans with terms of more than one year,Other services,1,total,D0203,675
Type of outstanding debt: loans with terms of more than one year,total,0,total,D0203,21018
Type of outstanding debt: mortgage loans,total,0,6–19 employees,D0204,6576
Type of outstanding debt: mortgage loans,total,0,20–49 employees,D0204,1260
Type of outstanding debt: mortgage loans,total,0,50–99 employees,D0204,249
Type of outstanding debt: mortgage loans,total,0,100+ employees,D0204,126
Type of outstanding debt: mortgage loans,"Agriculture, forestry, & fishing",1,total,D0204,1398
Type of outstanding debt: mortgage loans,Agriculture,2,total,D0204,1122
Type of outstanding debt: mortgage loans,Commercial fishing,2,total,D0204,6
Type of outstanding debt: mortgage loans,Forestry & logging,2,total,D0204,48
Type of outstanding debt: mortgage loans,"Agriculture, forestry, & fishing support services",2,total,D0204,228
Type of outstanding debt: mortgage loans,Mining,1,total,D0204,12
Type of outstanding debt: mortgage loans,Manufacturing,1,total,D0204,900
Type of outstanding debt: mortgage loans,"Food, beverage, & tobacco",2,total,D0204,249
Type of outstanding debt: mortgage loans,"Textile, clothing, footwear, & leather",2,total,D0204,27
Type of outstanding debt: mortgage loans,Wood & paper product,2,total,D0204,75
Type of outstanding debt: mortgage loans,"Printing, publishing, & recorded media",2,total,D0204,42
Type of outstanding debt: mortgage loans,"Petroleum, coal, chemical, & associated product",2,total,D0204,33
Type of outstanding debt: mortgage loans,Non-metallic mineral product,2,total,D0204,27
Type of outstanding debt: mortgage loans,Metal product,2,total,D0204,156
Type of outstanding debt: mortgage loans,Transport and industrial machinery & equipment,2,total,D0204,201
Type of outstanding debt: mortgage loans,Other machinery & equipment,2,total,D0204,24
Type of outstanding debt: mortgage loans,Other manufacturing,2,total,D0204,69
Type of outstanding debt: mortgage loans,"Electricity, gas, water, & waste services",1,total,D0204,15
Type of outstanding debt: mortgage loans,Construction,1,total,D0204,972
Type of outstanding debt: mortgage loans,Wholesale trade,1,total,D0204,561
Type of outstanding debt: mortgage loans,Machinery & equipment wholesaling,2,total,D0204,108
Type of outstanding debt: mortgage loans,Other wholesale trade,2,total,D0204,453
Type of outstanding debt: mortgage loans,Retail trade,1,total,D0204,894
Type of outstanding debt: mortgage loans,Accommodation & food services,1,total,D0204,1188
Type of outstanding debt: mortgage loans,"Transport, postal, & warehousing",1,total,D0204,279
Type of outstanding debt: mortgage loans,Information media & telecommunications,1,total,D0204,21
Type of outstanding debt: mortgage loans,Publishing,2,total,D0204,12
Type of outstanding debt: mortgage loans,Motion picture,2,total,D0204,3
Type of outstanding debt: mortgage loans,Telecommunications,2,total,D0204,6
Type of outstanding debt: mortgage loans,Financial & insurance services,1,total,D0204,30
Type of outstanding debt: mortgage loans,Finance,2,total,D0204,15
Type of outstanding debt: mortgage loans,Insurance,2,total,D0204,3
Type of outstanding debt: mortgage loans,Auxiliary,2,total,D0204,12
Type of outstanding debt: mortgage loans,"Rental, hiring, & real estate services",1,total,D0204,198
Type of outstanding debt: mortgage loans,"Professional, scientific, & technical services",1,total,D0204,384
Type of outstanding debt: mortgage loans,Computer systems design,2,total,D0204,9
Type of outstanding debt: mortgage loans,Other professional scientific,2,total,D0204,378
Type of outstanding debt: mortgage loans,Administrative & support services,1,total,D0204,144
Type of outstanding debt: mortgage loans,Education & training,1,total,D0204,270
Type of outstanding debt: mortgage loans,Health care & social assistance,1,total,D0204,564
Type of outstanding debt: mortgage loans,Arts & recreation services,1,total,D0204,60
Type of outstanding debt: mortgage loans,Other services,1,total,D0204,312
Type of outstanding debt: mortgage loans,total,0,total,D0204,8211
Type of outstanding debt: trade creditors or suppliers,total,0,6–19 employees,D0205,17349
Type of outstanding debt: trade creditors or suppliers,total,0,20–49 employees,D0205,5163
Type of outstanding debt: trade creditors or suppliers,total,0,50–99 employees,D0205,1704
Type of outstanding debt: trade creditors or suppliers,total,0,100+ employees,D0205,1476
Type of outstanding debt: trade creditors or suppliers,"Agriculture, forestry, & fishing",1,total,D0205,1419
Type of outstanding debt: trade creditors or suppliers,Agriculture,2,total,D0205,897
Type of outstanding debt: trade creditors or suppliers,Commercial fishing,2,total,D0205,27
Type of outstanding debt: trade creditors or suppliers,Forestry & logging,2,total,D0205,159
Type of outstanding debt: trade creditors or suppliers,"Agriculture, forestry, & fishing support services",2,total,D0205,339
Type of outstanding debt: trade creditors or suppliers,Mining,1,total,D0205,75
Type of outstanding debt: trade creditors or suppliers,Manufacturing,1,total,D0205,3549
Type of outstanding debt: trade creditors or suppliers,"Food, beverage, & tobacco",2,total,D0205,738
Type of outstanding debt: trade creditors or suppliers,"Textile, clothing, footwear, & leather",2,total,D0205,180
Type of outstanding debt: trade creditors or suppliers,Wood & paper product,2,total,D0205,345
Type of outstanding debt: trade creditors or suppliers,"Printing, publishing, & recorded media",2,total,D0205,162
Type of outstanding debt: trade creditors or suppliers,"Petroleum, coal, chemical, & associated product",2,total,D0205,300
Type of outstanding debt: trade creditors or suppliers,Non-metallic mineral product,2,total,D0205,129
Type of outstanding debt: trade creditors or suppliers,Metal product,2,total,D0205,621
Type of outstanding debt: trade creditors or suppliers,Transport and industrial machinery & equipment,2,total,D0205,603
Type of outstanding debt: trade creditors or suppliers,Other machinery & equipment,2,total,D0205,186
Type of outstanding debt: trade creditors or suppliers,Other manufacturing,2,total,D0205,282
Type of outstanding debt: trade creditors or suppliers,"Electricity, gas, water, & waste services",1,total,D0205,129
Type of outstanding debt: trade creditors or suppliers,Construction,1,total,D0205,4194
Type of outstanding debt: trade creditors or suppliers,Wholesale trade,1,total,D0205,2292
Type of outstanding debt: trade creditors or suppliers,Machinery & equipment wholesaling,2,total,D0205,753
Type of outstanding debt: trade creditors or suppliers,Other wholesale trade,2,total,D0205,1539
Type of outstanding debt: trade creditors or suppliers,Retail trade,1,total,D0205,3285
Type of outstanding debt: trade creditors or suppliers,Accommodation & food services,1,total,D0205,2688
Type of outstanding debt: trade creditors or suppliers,"Transport, postal, & warehousing",1,total,D0205,954
Type of outstanding debt: trade creditors or suppliers,Information media & telecommunications,1,total,D0205,261
Type of outstanding debt: trade creditors or suppliers,Publishing,2,total,D0205,87
Type of outstanding debt: trade creditors or suppliers,Motion picture,2,total,D0205,99
Type of outstanding debt: trade creditors or suppliers,Telecommunications,2,total,D0205,69
Type of outstanding debt: trade creditors or suppliers,Financial & insurance services,1,total,D0205,312
Type of outstanding debt: trade creditors or suppliers,Finance,2,total,D0205,123
Type of outstanding debt: trade creditors or suppliers,Insurance,2,total,D0205,24
Type of outstanding debt: trade creditors or suppliers,Auxiliary,2,total,D0205,168
Type of outstanding debt: trade creditors or suppliers,"Rental, hiring, & real estate services",1,total,D0205,507
Type of outstanding debt: trade creditors or suppliers,"Professional, scientific, & technical services",1,total,D0205,2742
Type of outstanding debt: trade creditors or suppliers,Computer systems design,2,total,D0205,534
Type of outstanding debt: trade creditors or suppliers,Other professional scientific,2,total,D0205,2211
Type of outstanding debt: trade creditors or suppliers,Administrative & support services,1,total,D0205,807
Type of outstanding debt: trade creditors or suppliers,Education & training,1,total,D0205,408
Type of outstanding debt: trade creditors or suppliers,Health care & social assistance,1,total,D0205,1053
Type of outstanding debt: trade creditors or suppliers,Arts & recreation services,1,total,D0205,219
Type of outstanding debt: trade creditors or suppliers,Other services,1,total,D0205,792
Type of outstanding debt: trade creditors or suppliers,total,0,total,D0205,25692
Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,6–19 employees,D0206,7446
Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,20–49 employees,D0206,2232
Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,50–99 employees,D0206,675
Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,100+ employees,D0206,588
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Agriculture, forestry, & fishing",1,total,D0206,951
Type of outstanding debt: capital/financing leases and hire purchase agreements,Agriculture,2,total,D0206,579
Type of outstanding debt: capital/financing leases and hire purchase agreements,Commercial fishing,2,total,D0206,3
Type of outstanding debt: capital/financing leases and hire purchase agreements,Forestry & logging,2,total,D0206,81
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Agriculture, forestry, & fishing support services",2,total,D0206,291
Type of outstanding debt: capital/financing leases and hire purchase agreements,Mining,1,total,D0206,36
Type of outstanding debt: capital/financing leases and hire purchase agreements,Manufacturing,1,total,D0206,1329
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Food, beverage, & tobacco",2,total,D0206,261
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Textile, clothing, footwear, & leather",2,total,D0206,42
Type of outstanding debt: capital/financing leases and hire purchase agreements,Wood & paper product,2,total,D0206,132
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Printing, publishing, & recorded media",2,total,D0206,72
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Petroleum, coal, chemical, & associated product",2,total,D0206,123
Type of outstanding debt: capital/financing leases and hire purchase agreements,Non-metallic mineral product,2,total,D0206,45
Type of outstanding debt: capital/financing leases and hire purchase agreements,Metal product,2,total,D0206,222
Type of outstanding debt: capital/financing leases and hire purchase agreements,Transport and industrial machinery & equipment,2,total,D0206,258
Type of outstanding debt: capital/financing leases and hire purchase agreements,Other machinery & equipment,2,total,D0206,54
Type of outstanding debt: capital/financing leases and hire purchase agreements,Other manufacturing,2,total,D0206,114
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Electricity, gas, water, & waste services",1,total,D0206,60
Type of outstanding debt: capital/financing leases and hire purchase agreements,Construction,1,total,D0206,2298
Type of outstanding debt: capital/financing leases and hire purchase agreements,Wholesale trade,1,total,D0206,822
Type of outstanding debt: capital/financing leases and hire purchase agreements,Machinery & equipment wholesaling,2,total,D0206,252
Type of outstanding debt: capital/financing leases and hire purchase agreements,Other wholesale trade,2,total,D0206,567
Type of outstanding debt: capital/financing leases and hire purchase agreements,Retail trade,1,total,D0206,1146
Type of outstanding debt: capital/financing leases and hire purchase agreements,Accommodation & food services,1,total,D0206,771
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Transport, postal, & warehousing",1,total,D0206,600
Type of outstanding debt: capital/financing leases and hire purchase agreements,Information media & telecommunications,1,total,D0206,90
Type of outstanding debt: capital/financing leases and hire purchase agreements,Publishing,2,total,D0206,30
Type of outstanding debt: capital/financing leases and hire purchase agreements,Motion picture,2,total,D0206,27
Type of outstanding debt: capital/financing leases and hire purchase agreements,Telecommunications,2,total,D0206,30
Type of outstanding debt: capital/financing leases and hire purchase agreements,Financial & insurance services,1,total,D0206,126
Type of outstanding debt: capital/financing leases and hire purchase agreements,Finance,2,total,D0206,45
Type of outstanding debt: capital/financing leases and hire purchase agreements,Insurance,2,total,D0206,3
Type of outstanding debt: capital/financing leases and hire purchase agreements,Auxiliary,2,total,D0206,81
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Rental, hiring, & real estate services",1,total,D0206,369
Type of outstanding debt: capital/financing leases and hire purchase agreements,"Professional, scientific, & technical services",1,total,D0206,918
Type of outstanding debt: capital/financing leases and hire purchase agreements,Computer systems design,2,total,D0206,156
Type of outstanding debt: capital/financing leases and hire purchase agreements,Other professional scientific,2,total,D0206,765
Type of outstanding debt: capital/financing leases and hire purchase agreements,Administrative & support services,1,total,D0206,357
Type of outstanding debt: capital/financing leases and hire purchase agreements,Education & training,1,total,D0206,192
Type of outstanding debt: capital/financing leases and hire purchase agreements,Health care & social assistance,1,total,D0206,450
Type of outstanding debt: capital/financing leases and hire purchase agreements,Arts & recreation services,1,total,D0206,96
Type of outstanding debt: capital/financing leases and hire purchase agreements,Other services,1,total,D0206,318
Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,total,D0206,10938
"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,6–19 employees,D0207,13872
"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,20–49 employees,D0207,4506
"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,50–99 employees,D0207,1494
"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,100+ employees,D0207,1236
"Type of outstanding debt: credit cards, excluding unused credit limits","Agriculture, forestry, & fishing",1,total,D0207,900
"Type of outstanding debt: credit cards, excluding unused credit limits",Agriculture,2,total,D0207,585
"Type of outstanding debt: credit cards, excluding unused credit limits",Commercial fishing,2,total,D0207,21
"Type of outstanding debt: credit cards, excluding unused credit limits",Forestry & logging,2,total,D0207,66
"Type of outstanding debt: credit cards, excluding unused credit limits","Agriculture, forestry, & fishing support services",2,total,D0207,225
"Type of outstanding debt: credit cards, excluding unused credit limits",Mining,1,total,D0207,48
"Type of outstanding debt: credit cards, excluding unused credit limits",Manufacturing,1,total,D0207,2715
"Type of outstanding debt: credit cards, excluding unused credit limits","Food, beverage, & tobacco",2,total,D0207,543
"Type of outstanding debt: credit cards, excluding unused credit limits","Textile, clothing, footwear, & leather",2,total,D0207,129
"Type of outstanding debt: credit cards, excluding unused credit limits",Wood & paper product,2,total,D0207,267
"Type of outstanding debt: credit cards, excluding unused credit limits","Printing, publishing, & recorded media",2,total,D0207,135
"Type of outstanding debt: credit cards, excluding unused credit limits","Petroleum, coal, chemical, & associated product",2,total,D0207,255
"Type of outstanding debt: credit cards, excluding unused credit limits",Non-metallic mineral product,2,total,D0207,96
"Type of outstanding debt: credit cards, excluding unused credit limits",Metal product,2,total,D0207,474
"Type of outstanding debt: credit cards, excluding unused credit limits",Transport and industrial machinery & equipment,2,total,D0207,471
"Type of outstanding debt: credit cards, excluding unused credit limits",Other machinery & equipment,2,total,D0207,147
"Type of outstanding debt: credit cards, excluding unused credit limits",Other manufacturing,2,total,D0207,198
"Type of outstanding debt: credit cards, excluding unused credit limits","Electricity, gas, water, & waste services",1,total,D0207,108
"Type of outstanding debt: credit cards, excluding unused credit limits",Construction,1,total,D0207,3372
"Type of outstanding debt: credit cards, excluding unused credit limits",Wholesale trade,1,total,D0207,1767
"Type of outstanding debt: credit cards, excluding unused credit limits",Machinery & equipment wholesaling,2,total,D0207,558
"Type of outstanding debt: credit cards, excluding unused credit limits",Other wholesale trade,2,total,D0207,1209
"Type of outstanding debt: credit cards, excluding unused credit limits",Retail trade,1,total,D0207,2472
"Type of outstanding debt: credit cards, excluding unused credit limits",Accommodation & food services,1,total,D0207,2073
"Type of outstanding debt: credit cards, excluding unused credit limits","Transport, postal, & warehousing",1,total,D0207,786
"Type of outstanding debt: credit cards, excluding unused credit limits",Information media & telecommunications,1,total,D0207,225
"Type of outstanding debt: credit cards, excluding unused credit limits",Publishing,2,total,D0207,90
"Type of outstanding debt: credit cards, excluding unused credit limits",Motion picture,2,total,D0207,60
"Type of outstanding debt: credit cards, excluding unused credit limits",Telecommunications,2,total,D0207,72
"Type of outstanding debt: credit cards, excluding unused credit limits",Financial & insurance services,1,total,D0207,342
"Type of outstanding debt: credit cards, excluding unused credit limits",Finance,2,total,D0207,96
"Type of outstanding debt: credit cards, excluding unused credit limits",Insurance,2,total,D0207,21
"Type of outstanding debt: credit cards, excluding unused credit limits",Auxiliary,2,total,D0207,225
"Type of outstanding debt: credit cards, excluding unused credit limits","Rental, hiring, & real estate services",1,total,D0207,555
"Type of outstanding debt: credit cards, excluding unused credit limits","Professional, scientific, & technical services",1,total,D0207,2637
"Type of outstanding debt: credit cards, excluding unused credit limits",Computer systems design,2,total,D0207,510
"Type of outstanding debt: credit cards, excluding unused credit limits",Other professional scientific,2,total,D0207,2130
"Type of outstanding debt: credit cards, excluding unused credit limits",Administrative & support services,1,total,D0207,672
"Type of outstanding debt: credit cards, excluding unused credit limits",Education & training,1,total,D0207,441
"Type of outstanding debt: credit cards, excluding unused credit limits",Health care & social assistance,1,total,D0207,1131
"Type of outstanding debt: credit cards, excluding unused credit limits",Arts & recreation services,1,total,D0207,183
"Type of outstanding debt: credit cards, excluding unused credit limits",Other services,1,total,D0207,675
"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,total,D0207,21111
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",total,0,6–19 employees,D0208,11022
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",total,0,20–49 employees,D0208,3117
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",total,0,50–99 employees,D0208,861
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",total,0,100+ employees,D0208,588
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Agriculture, forestry, & fishing",1,total,D0208,762
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Agriculture,2,total,D0208,429
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Commercial fishing,2,total,D0208,15
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Forestry & logging,2,total,D0208,72
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts","Agriculture, forestry, & fishing support services",2,total,D0208,246
"Type of outstanding debt: shareholders' current account, excluding overdrawn accounts",Mining,1,total,D0208,39
