Day,Number of Bicycle Hires,
05/05/2011,23620.00,
06/05/2011,28971.00,
07/05/2011,22274.00,
08/05/2011,21011.00,
09/05/2011,27172.00,
10/05/2011,29417.00,
11/05/2011,27205.00,
12/05/2011,23461.00,
13/05/2011,23991.00,
14/05/2011,21100.00,
15/05/2011,19097.00,
16/05/2011,24620.00,
17/05/2011,25464.00,
18/05/2011,23068.00,
19/05/2011,27534.00,
20/05/2011,27523.00,
21/05/2011,24408.00,
22/05/2011,19348.00,
23/05/2011,24268.00,
24/05/2011,27768.00,
25/05/2011,28708.00,
26/05/2011,18055.00,
27/05/2011,22907.00,
28/05/2011,15693.00,
29/05/2011,18396.00,
30/05/2011,16097.00,
31/05/2011,23312.00,
01/06/2011,26054.00,
02/06/2011,26920.00,
03/06/2011,26641.00,
04/06/2011,15233.00,
05/06/2011,8420.00,
06/06/2011,13812.00,
07/06/2011,22378.00,
08/06/2011,23013.00,
09/06/2011,25061.00,
10/06/2011,20141.00,
11/06/2011,21059.00,
12/06/2011,6061.00,
13/06/2011,23978.00,
14/06/2011,28889.00,
15/06/2011,25643.00,
16/06/2011,17566.00,
17/06/2011,15723.00,
18/06/2011,13721.00,
19/06/2011,17092.00,
20/06/2011,20101.00,
21/06/2011,26780.00,
22/06/2011,22745.00,
23/06/2011,24559.00,
24/06/2011,22137.00,
25/06/2011,17944.00,
26/06/2011,23483.00,
27/06/2011,26243.00,
28/06/2011,21950.00,
29/06/2011,28073.00,
30/06/2011,27297.00,
01/07/2011,27758.00,
02/07/2011,22764.00,
03/07/2011,21423.00,
04/07/2011,27332.00,
05/07/2011,24802.00,
06/07/2011,26207.00,
07/07/2011,20483.00,
08/07/2011,19485.00,
09/07/2011,21360.00,
10/07/2011,20203.00,
11/07/2011,26355.00,
12/07/2011,26633.00,
13/07/2011,25417.00,
14/07/2011,26479.00,
15/07/2011,27114.00,
16/07/2011,10224.00,
17/07/2011,10965.00,
18/07/2011,18541.00,
19/07/2011,21218.00,
20/07/2011,21580.00,
21/07/2011,20951.00,
22/07/2011,25172.00,
23/07/2011,20264.00,
24/07/2011,22464.00,
25/07/2011,25185.00,
26/07/2011,25636.00,
27/07/2011,24989.00,
28/07/2011,26759.00,
29/07/2011,25373.00,
30/07/2011,23930.00,
31/07/2011,21388.00,
01/08/2011,22940.00,
02/08/2011,24290.00,
03/08/2011,26120.00,
04/08/2011,15149.00,
05/08/2011,26792.00,
06/08/2011,20485.00,
07/08/2011,14912.00,
08/08/2011,23489.00,
09/08/2011,23011.00,
10/08/2011,24182.00,
11/08/2011,20573.00,
12/08/2011,22971.00,
13/08/2011,20731.00,
14/08/2011,21115.00,
15/08/2011,23657.00,
16/08/2011,24899.00,
17/08/2011,23010.00,
18/08/2011,16139.00,
19/08/2011,25444.00,
20/08/2011,17334.00,
21/08/2011,21836.00,
22/08/2011,25222.00,
23/08/2011,10953.00,
24/08/2011,22883.00,
25/08/2011,20026.00,
26/08/2011,12368.00,
27/08/2011,14045.00,
28/08/2011,15908.00,
29/08/2011,17443.00,
30/08/2011,21477.00,
31/08/2011,23036.00,
01/09/2011,25110.00,
02/09/2011,25981.00,
03/09/2011,24578.00,
04/09/2011,14967.00,
05/09/2011,21776.00,
06/09/2011,13863.00,
07/09/2011,22746.00,
08/09/2011,23679.00,
09/09/2011,23957.00,
10/09/2011,20069.00,
11/09/2011,17719.00,
12/09/2011,21572.00,
13/09/2011,23962.00,
14/09/2011,25824.00,
15/09/2011,25803.00,
16/09/2011,25567.00,
17/09/2011,15147.00,
18/09/2011,17327.00,
19/09/2011,23708.00,
20/09/2011,23676.00,
21/09/2011,22730.00,
22/09/2011,24601.00,
23/09/2011,25114.00,
24/09/2011,22113.00,
25/09/2011,21211.00,
26/09/2011,20527.00,
27/09/2011,24841.00,
28/09/2011,28434.00,
29/09/2011,29039.00,
30/09/2011,29139.00,
01/10/2011,27129.00,
02/10/2011,26906.00,
03/10/2011,27559.00,
04/10/2011,26131.00,
05/10/2011,26263.00,
06/10/2011,25083.00,
07/10/2011,24529.00,
08/10/2011,18154.00,
09/10/2011,17643.00,
10/10/2011,24198.00,
11/10/2011,26184.00,
12/10/2011,26323.00,
13/10/2011,25149.00,
14/10/2011,26542.00,
15/10/2011,23663.00,
16/10/2011,18530.00,
17/10/2011,23892.00,
18/10/2011,23791.00,
19/10/2011,23259.00,
20/10/2011,23157.00,
21/10/2011,23253.00,
22/10/2011,20482.00,
23/10/2011,18560.00,
24/10/2011,22842.00,
25/10/2011,22771.00,
26/10/2011,17621.00,
27/10/2011,19360.00,
28/10/2011,23158.00,
29/10/2011,18228.00,
30/10/2011,15443.00,
31/10/2011,22999.00,
01/11/2011,22747.00,
02/11/2011,23724.00,
03/11/2011,18676.00,
04/11/2011,18774.00,
05/11/2011,16434.00,
06/11/2011,14317.00,
07/11/2011,20365.00,
08/11/2011,19231.00,
09/11/2011,22542.00,
10/11/2011,23475.00,
11/11/2011,21140.00,
12/11/2011,18933.00,
13/11/2011,17744.00,
14/11/2011,19913.00,
15/11/2011,22245.00,
16/11/2011,21639.00,
17/11/2011,22802.00,
18/11/2011,22461.00,
19/11/2011,18706.00,
20/11/2011,14829.00,
21/11/2011,20824.00,
22/11/2011,20341.00,
23/11/2011,21855.00,
24/11/2011,21870.00,
25/11/2011,21598.00,
26/11/2011,15803.00,
27/11/2011,14362.00,
28/11/2011,20167.00,
29/11/2011,18718.00,
30/11/2011,20956.00,
01/12/2011,16481.00,
02/12/2011,19146.00,
03/12/2011,13776.00,
04/12/2011,10276.00,
05/12/2011,18176.00,
06/12/2011,18943.00,
07/12/2011,19279.00,
08/12/2011,17313.00,
09/12/2011,18421.00,
10/12/2011,11864.00,
11/12/2011,8368.00,
12/12/2011,16554.00,
13/12/2011,17111.00,
14/12/2011,17543.00,
15/12/2011,17081.00,
16/12/2011,11778.00,
17/12/2011,8925.00,
18/12/2011,7485.00,
19/12/2011,11270.00,
20/12/2011,15685.00,
21/12/2011,14158.00,
22/12/2011,15099.00,
23/12/2011,9131.00,
24/12/2011,4890.00,
25/12/2011,17998.00,
26/12/2011,10953.00,
27/12/2011,8076.00,
28/12/2011,9888.00,
29/12/2011,8368.00,
30/12/2011,6900.00,
31/12/2011,7793.00,
01/01/2012,5171.00,
02/01/2012,9091.00,
03/01/2012,10094.00,
04/01/2012,13936.00,
05/01/2012,14191.00,
06/01/2012,17713.00,
07/01/2012,12556.00,
08/01/2012,10487.00,
09/01/2012,19472.00,
10/01/2012,20548.00,
11/01/2012,20958.00,
12/01/2012,20879.00,
13/01/2012,19691.00,
14/01/2012,13843.00,
15/01/2012,12149.00,
16/01/2012,19136.00,
17/01/2012,20170.00,
18/01/2012,17972.00,
19/01/2012,15441.00,
20/01/2012,18703.00,
21/01/2012,13339.00,
22/01/2012,12845.00,
23/01/2012,20193.00,
24/01/2012,13269.00,
25/01/2012,20836.00,
26/01/2012,19515.00,
27/01/2012,20775.00,
28/01/2012,13272.00,
29/01/2012,10949.00,
30/01/2012,18955.00,
31/01/2012,18176.00,
01/02/2012,18208.00,
02/02/2012,16916.00,
03/02/2012,16185.00,
04/02/2012,8348.00,
05/02/2012,3531.00,
06/02/2012,15202.00,
07/02/2012,17722.00,
08/02/2012,16442.00,
09/02/2012,16363.00,
10/02/2012,15117.00,
11/02/2012,9912.00,
12/02/2012,8020.00,
13/02/2012,13172.00,
14/02/2012,17946.00,
15/02/2012,19396.00,
16/02/2012,19505.00,
17/02/2012,19444.00,
18/02/2012,9463.00,
19/02/2012,12655.00,
20/02/2012,18802.00,
21/02/2012,20861.00,
22/02/2012,18112.00,
23/02/2012,23391.00,
24/02/2012,22067.00,
25/02/2012,19349.00,
26/02/2012,17646.00,
27/02/2012,20936.00,
28/02/2012,23423.00,
29/02/2012,23692.00,
01/03/2012,25116.00,
02/03/2012,21928.00,
03/03/2012,17697.00,
04/03/2012,5062.00,
05/03/2012,19342.00,
06/03/2012,21102.00,
07/03/2012,17096.00,
08/03/2012,24123.00,
09/03/2012,23609.00,
10/03/2012,24721.00,
11/03/2012,27758.00,
12/03/2012,28856.00,
13/03/2012,27528.00,
14/03/2012,28296.00,
15/03/2012,29969.00,
16/03/2012,26452.00,
17/03/2012,13391.00,
18/03/2012,19184.00,
19/03/2012,28391.00,
20/03/2012,30817.00,
21/03/2012,31175.00,
22/03/2012,31135.00,
23/03/2012,33635.00,
24/03/2012,35091.00,
25/03/2012,28607.00,
26/03/2012,32368.00,
27/03/2012,34563.00,
28/03/2012,36539.00,
29/03/2012,35954.00,
30/03/2012,35666.00,
31/03/2012,23038.00,
01/04/2012,30513.00,
02/04/2012,32142.00,
03/04/2012,25956.00,
04/04/2012,27912.00,
05/04/2012,24383.00,
06/04/2012,22354.00,
07/04/2012,16848.00,
08/04/2012,15717.00,
09/04/2012,6214.00,
10/04/2012,24898.00,
11/04/2012,29345.00,
12/04/2012,25772.00,
13/04/2012,27673.00,
14/04/2012,26193.00,
15/04/2012,10188.00,
16/04/2012,28188.00,
17/04/2012,20105.00,
18/04/2012,16651.00,
19/04/2012,18759.00,
20/04/2012,22730.00,
21/04/2012,22014.00,
22/04/2012,19707.00,
23/04/2012,19262.00,
24/04/2012,27522.00,
25/04/2012,12737.00,
26/04/2012,21740.00,
27/04/2012,24263.00,
28/04/2012,7827.00,
29/04/2012,9951.00,
30/04/2012,31909.00,
01/05/2012,24523.00,
02/05/2012,28381.00,
03/05/2012,23768.00,
04/05/2012,25503.00,
05/05/2012,16009.00,
06/05/2012,17160.00,
07/05/2012,15227.00,
08/05/2012,28585.00,
09/05/2012,21758.00,
10/05/2012,26164.00,
11/05/2012,31385.00,
12/05/2012,30699.00,
13/05/2012,28778.00,
14/05/2012,23344.00,
15/05/2012,18409.00,
16/05/2012,31453.00,
17/05/2012,31219.00,
18/05/2012,30945.00,
19/05/2012,28474.00,
20/05/2012,22286.00,
21/05/2012,30905.00,
22/05/2012,36720.00,
23/05/2012,40486.00,
24/05/2012,42008.00,
25/05/2012,41357.00,
26/05/2012,39358.00,
27/05/2012,38781.00,
28/05/2012,40872.00,
29/05/2012,37962.00,
30/05/2012,38803.00,
31/05/2012,35630.00,
01/06/2012,34524.00,
02/06/2012,25283.00,
03/06/2012,12207.00,
04/06/2012,22649.00,
05/06/2012,15537.00,
06/06/2012,30297.00,
07/06/2012,23066.00,
08/06/2012,22224.00,
09/06/2012,29258.00,
10/06/2012,20876.00,
11/06/2012,10252.00,
12/06/2012,23742.00,
13/06/2012,34447.00,
14/06/2012,31593.00,
15/06/2012,30944.00,
16/06/2012,26300.00,
17/06/2012,28531.00,
18/06/2012,31089.00,
19/06/2012,37601.00,
20/06/2012,39267.00,
21/06/2012,27052.00,
22/06/2012,33027.00,
23/06/2012,26900.00,
24/06/2012,23509.00,
25/06/2012,36337.00,
26/06/2012,37652.00,
27/06/2012,36767.00,
28/06/2012,39571.00,
29/06/2012,35321.00,
30/06/2012,32982.00,
01/07/2012,27438.00,
02/07/2012,24963.00,
03/07/2012,27163.00,
04/07/2012,32433.00,
05/07/2012,40565.00,
06/07/2012,24723.00,
07/07/2012,24782.00,
08/07/2012,15855.00,
09/07/2012,30523.00,
10/07/2012,29723.00,
11/07/2012,30544.00,
12/07/2012,24736.00,
13/07/2012,28875.00,
14/07/2012,17999.00,
15/07/2012,29938.00,
16/07/2012,24218.00,
17/07/2012,36788.00,
18/07/2012,29841.00,
19/07/2012,37032.00,
20/07/2012,31187.00,
21/07/2012,34776.00,
22/07/2012,38620.00,
23/07/2012,42309.00,
24/07/2012,45748.00,
25/07/2012,45024.00,
26/07/2012,46891.00,
27/07/2012,42815.00,
28/07/2012,44617.00,
29/07/2012,26352.00,
30/07/2012,41891.00,
31/07/2012,35805.00,
01/08/2012,41603.00,
02/08/2012,43183.00,
03/08/2012,43045.00,
04/08/2012,39082.00,
05/08/2012,30150.00,
06/08/2012,37198.00,
07/08/2012,38134.00,
08/08/2012,42263.00,
09/08/2012,46050.00,
10/08/2012,47102.00,
11/08/2012,44111.00,
12/08/2012,41734.00,
13/08/2012,36101.00,
14/08/2012,41532.00,
15/08/2012,36557.00,
16/08/2012,38181.00,
17/08/2012,40821.00,
18/08/2012,40577.00,
19/08/2012,35370.00,
20/08/2012,37997.00,
21/08/2012,39185.00,
22/08/2012,39962.00,
23/08/2012,36578.00,
24/08/2012,33329.00,
25/08/2012,17802.00,
26/08/2012,31939.00,
27/08/2012,27522.00,
28/08/2012,37362.00,
29/08/2012,30916.00,
30/08/2012,30379.00,
31/08/2012,37406.00,
01/09/2012,33123.00,
02/09/2012,27997.00,
03/09/2012,39941.00,
04/09/2012,40298.00,
05/09/2012,40606.00,
06/09/2012,39864.00,
07/09/2012,41414.00,
08/09/2012,40978.00,
09/09/2012,39006.00,
10/09/2012,35489.00,
11/09/2012,37276.00,
12/09/2012,35654.00,
13/09/2012,37938.00,
14/09/2012,36653.00,
15/09/2012,36493.00,
16/09/2012,29785.00,
17/09/2012,35954.00,
18/09/2012,37026.00,
19/09/2012,36136.00,
20/09/2012,35929.00,
21/09/2012,32347.00,
22/09/2012,33867.00,
23/09/2012,8452.00,
24/09/2012,21229.00,
25/09/2012,33706.00,
26/09/2012,27202.00,
27/09/2012,32416.00,
28/09/2012,31880.00,
29/09/2012,31223.00,
30/09/2012,25263.00,
01/10/2012,23627.00,
02/10/2012,30107.00,
03/10/2012,32695.00,
04/10/2012,35136.00,
05/10/2012,23773.00,
06/10/2012,30424.00,
07/10/2012,27168.00,
08/10/2012,22984.00,
09/10/2012,32965.00,
10/10/2012,35221.00,
11/10/2012,25324.00,
12/10/2012,31694.00,
13/10/2012,26289.00,
14/10/2012,25440.00,
15/10/2012,30558.00,
16/10/2012,33253.00,
17/10/2012,30285.00,
18/10/2012,32566.00,
19/10/2012,21001.00,
20/10/2012,25411.00,
21/10/2012,15563.00,
22/10/2012,27294.00,
23/10/2012,31996.00,
24/10/2012,33882.00,
25/10/2012,29515.00,
26/10/2012,26404.00,
27/10/2012,17144.00,
28/10/2012,15305.00,
29/10/2012,24276.00,
30/10/2012,30325.00,
31/10/2012,29241.00,
01/11/2012,26888.00,
02/11/2012,28748.00,
03/11/2012,21498.00,
04/11/2012,11693.00,
05/11/2012,27666.00,
06/11/2012,27038.00,
07/11/2012,29537.00,
08/11/2012,29895.00,
09/11/2012,29349.00,
10/11/2012,18018.00,
11/11/2012,20971.00,
12/11/2012,23680.00,
13/11/2012,30511.00,
14/11/2012,31453.00,
15/11/2012,30165.00,
16/11/2012,28143.00,
17/11/2012,20325.00,
18/11/2012,21664.00,
19/11/2012,28127.00,
20/11/2012,25921.00,
21/11/2012,20554.00,
22/11/2012,27783.00,
23/11/2012,27973.00,
24/11/2012,8902.00,
25/11/2012,16894.00,
26/11/2012,20656.00,
27/11/2012,20388.00,
28/11/2012,21403.00,
29/11/2012,26212.00,
30/11/2012,24838.00,
01/12/2012,16068.00,
02/12/2012,15227.00,
03/12/2012,23592.00,
04/12/2012,26144.00,
05/12/2012,23111.00,
06/12/2012,22645.00,
07/12/2012,20140.00,
08/12/2012,17805.00,
09/12/2012,14147.00,
10/12/2012,23937.00,
11/12/2012,23531.00,
12/12/2012,22344.00,
13/12/2012,21704.00,
14/12/2012,17085.00,
15/12/2012,16962.00,
16/12/2012,14128.00,
17/12/2012,22899.00,
18/12/2012,23651.00,
19/12/2012,16828.00,
20/12/2012,12401.00,
21/12/2012,20395.00,
22/12/2012,5644.00,
23/12/2012,9184.00,
24/12/2012,7985.00,
25/12/2012,16816.00,
26/12/2012,10405.00,
27/12/2012,9013.00,
28/12/2012,10947.00,
29/12/2012,8498.00,
30/12/2012,11343.00,
31/12/2012,8865.00,
01/01/2013,12149.00,
02/01/2013,16203.00,
03/01/2013,21269.00,
04/01/2013,22435.00,
05/01/2013,16242.00,
06/01/2013,13622.00,
07/01/2013,23348.00,
08/01/2013,25909.00,
09/01/2013,25341.00,
10/01/2013,24363.00,
11/01/2013,23869.00,
12/01/2013,13562.00,
13/01/2013,12260.00,
14/01/2013,17427.00,
15/01/2013,22797.00,
16/01/2013,22460.00,
17/01/2013,22210.00,
18/01/2013,13108.00,
19/01/2013,7843.00,
20/01/2013,3728.00,
21/01/2013,13467.00,
22/01/2013,18061.00,
23/01/2013,19404.00,
24/01/2013,20721.00,
25/01/2013,20178.00,
26/01/2013,14595.00,
27/01/2013,13689.00,
28/01/2013,18689.00,
29/01/2013,21268.00,
30/01/2013,23415.00,
31/01/2013,21957.00,
01/02/2013,18081.00,
02/02/2013,15757.00,
03/02/2013,13572.00,
04/02/2013,23017.00,
05/02/2013,21177.00,
06/02/2013,20664.00,
07/02/2013,20852.00,
08/02/2013,20571.00,
09/02/2013,11274.00,
10/02/2013,4901.00,
11/02/2013,13468.00,
12/02/2013,20342.00,
13/02/2013,21051.00,
14/02/2013,21034.00,
15/02/2013,22952.00,
16/02/2013,19072.00,
17/02/2013,19044.00,
18/02/2013,22724.00,
19/02/2013,24525.00,
20/02/2013,20938.00,
21/02/2013,19757.00,
22/02/2013,18313.00,
23/02/2013,11234.00,
24/02/2013,9404.00,
25/02/2013,19800.00,
26/02/2013,19595.00,
27/02/2013,21484.00,
28/02/2013,21985.00,
01/03/2013,19487.00,
02/03/2013,15265.00,
03/03/2013,14520.00,
04/03/2013,23036.00,
05/03/2013,27054.00,
06/03/2013,24324.00,
07/03/2013,17322.00,
08/03/2013,13843.00,
09/03/2013,14244.00,
10/03/2013,10163.00,
11/03/2013,16546.00,
12/03/2013,18794.00,
13/03/2013,20245.00,
14/03/2013,21984.00,
15/03/2013,17159.00,
16/03/2013,9190.00,
17/03/2013,7940.00,
18/03/2013,15852.00,
19/03/2013,22479.00,
20/03/2013,22216.00,
21/03/2013,22061.00,
22/03/2013,16233.00,
23/03/2013,5249.00,
24/03/2013,6786.00,
25/03/2013,17290.00,
26/03/2013,18384.00,
27/03/2013,19184.00,
28/03/2013,18052.00,
29/03/2013,10909.00,
30/03/2013,9793.00,
31/03/2013,9007.00,
01/04/2013,9421.00,
02/04/2013,19148.00,
03/04/2013,17801.00,
04/04/2013,15626.00,
05/04/2013,18059.00,
06/04/2013,18216.00,
07/04/2013,18090.00,
08/04/2013,21797.00,
09/04/2013,17555.00,
10/04/2013,22233.00,
11/04/2013,19240.00,
12/04/2013,15100.00,
13/04/2013,11291.00,
14/04/2013,25074.00,
15/04/2013,24923.00,
16/04/2013,26060.00,
17/04/2013,25730.00,
18/04/2013,23979.00,
19/04/2013,24297.00,
20/04/2013,26724.00,
21/04/2013,22466.00,
22/04/2013,25384.00,
23/04/2013,31359.00,
24/04/2013,30193.00,
25/04/2013,32000.00,
26/04/2013,23125.00,
27/04/2013,17337.00,
28/04/2013,19139.00,
29/04/2013,27644.00,
30/04/2013,29219.00,
01/05/2013,31175.00,
02/05/2013,31239.00,
03/05/2013,31340.00,
04/05/2013,19156.00,
05/05/2013,24342.00,
06/05/2013,29015.00,
07/05/2013,30707.00,
08/05/2013,26032.00,
09/05/2013,24250.00,
10/05/2013,26399.00,
11/05/2013,16627.00,
12/05/2013,15918.00,
13/05/2013,24836.00,
14/05/2013,18054.00,
15/05/2013,24015.00,
16/05/2013,26070.00,
17/05/2013,24932.00,
18/05/2013,22272.00,
19/05/2013,23994.00,
20/05/2013,25914.00,
21/05/2013,27649.00,
22/05/2013,26967.00,
23/05/2013,24701.00,
24/05/2013,12891.00,
25/05/2013,21087.00,
26/05/2013,27251.00,
27/05/2013,25819.00,
28/05/2013,14556.00,
29/05/2013,21440.00,
30/05/2013,22150.00,
31/05/2013,29136.00,
01/06/2013,24782.00,
02/06/2013,27202.00,
03/06/2013,29940.00,
04/06/2013,32397.00,
05/06/2013,32488.00,
06/06/2013,32829.00,
07/06/2013,28762.00,
08/06/2013,27264.00,
09/06/2013,19429.00,
10/06/2013,27336.00,
11/06/2013,26601.00,
12/06/2013,24401.00,
13/06/2013,26388.00,
14/06/2013,28797.00,
15/06/2013,16020.00,
16/06/2013,19970.00,
17/06/2013,28611.00,
18/06/2013,30871.00,
19/06/2013,31899.00,
20/06/2013,29959.00,
21/06/2013,28844.00,
22/06/2013,19483.00,
23/06/2013,19006.00,
24/06/2013,27636.00,
25/06/2013,31889.00,
26/06/2013,31156.00,
27/06/2013,27306.00,
28/06/2013,22074.00,
29/06/2013,29054.00,
30/06/2013,31237.00,
01/07/2013,31151.00,
02/07/2013,30163.00,
03/07/2013,30780.00,
04/07/2013,32941.00,
05/07/2013,34704.00,
06/07/2013,34191.00,
07/07/2013,31363.00,
